y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_year
COALINDIA,AXISBANK,2.3701245021273065,0.4778041795494326,0.0006171292137360456,16.332766681694235,0.9300881537293162,18,-3.061748385688487e-14,0.06708589574785251,False,Metals & Mining,Bank,2016
TCS,HEROMOTOCO,-0.13317974017115053,0.9290249000540662,0.0007074298627824803,19.800343270517494,0.9205845056213601,15,-7.540470305768934e-14,0.08679477824346025,False,IT,Auto,2016
SHREECEM,HDFCBANK,-2.239605184556554,1.8573708611833855,1.2409587714463206e-06,7.933678303397234,0.985631178793433,30,3.6163899623292663e-14,0.058469684260662,False,Cement,Bank,2017
HDFCBANK,INDUSINDBK,2.2534341454302944,0.5856695899423545,1.2410059156436705e-05,8.821745384584892,0.9912142701021691,28,1.1316050976920114e-14,0.02429599074214955,True,Bank,Bank,2017
HCLTECH,CIPLA,2.8210511436789596,0.48544844359916584,8.793638113929632e-05,12.88148962985795,0.8425952117536843,22,-1.3816108750890837e-14,0.057506309854346634,False,IT,Pharma,2017
KOTAKBANK,EICHERMOT,2.8025145982477824,0.5037455120143659,0.0001023810664188093,13.396243642719735,0.9744616024548888,21,2.708004308741784e-14,0.05280843410702764,False,Bank,Auto,2017
TCS,AXISBANK,5.503997967956129,0.24196992780206292,0.00022269949796516756,14.071831178778321,0.7565106167846974,23,-7.026008229066969e-14,0.049309990689005226,False,IT,Bank,2017
TCS,SUNPHARMA,4.460370342125291,0.38082957153411423,0.00034981897851856934,14.653033277300612,0.758496572457087,22,3.96038287408614e-14,0.04913624094236126,False,IT,Pharma,2017
ULTRACEMCO,SHREECEM,2.9738367536325425,0.5386107648975238,0.0003929007074823193,13.24888962300169,0.9613541526541246,24,-1.5061438281158208e-13,0.053393935881627774,True,Cement,Cement,2017
SHREECEM,INDUSINDBK,1.9268507117454425,1.0906476209867229,0.0004423854083497311,13.87728035846905,0.9795241161540401,22,-1.1059231132281956e-13,0.0696903448533674,False,Cement,Bank,2017
TCS,M&M,3.8837232923837433,0.48585821027868176,0.0004790718390699576,14.804746903195154,0.7041489121473099,19,4.5369939433835233e-14,0.05353772002990491,False,IT,Auto,2017
BPCL,BAJAJFINSV,-0.6597302834342164,0.7917925222385352,0.0006666701579987322,15.62282916519388,0.9728173058654422,15,-1.383843069530129e-14,0.08320928377597732,False,Energy,NBFC,2017
TCS,TITAN,4.816537441099257,0.3713497798695691,0.0007464645087599595,14.714975931483561,0.7358003671034968,18,3.1146161487658756e-14,0.05106055241359283,False,IT,Consumer,2017
ULTRACEMCO,UPL,5.156176863841603,0.4981874422000342,0.0008859549154278479,19.87052704521009,0.9305565085661289,22,1.6473594974914227e-14,0.07101000480044346,False,Cement,Chemicals,2017
HINDUNILVR,KOTAKBANK,2.2749772514775457,0.6692466958893983,0.0009076956876847093,14.41098826407062,0.9526237672922498,20,3.399749617629924e-14,0.050250049324391144,False,Consumer,Bank,2017
COALINDIA,LT,0.5055328744709013,0.7041455763407016,0.0010489517027267275,15.65118507123966,0.8572596208211437,28,-1.804552979708191e-15,0.061390041253110005,False,Metals & Mining,Infrastructure,2017
TCS,HINDUNILVR,4.801232076989589,0.33127953377298314,0.00108016263239555,16.456565681507524,0.725892042026871,15,1.5218866731210877e-14,0.051860553956386564,False,IT,Consumer,2017
SHREECEM,ASIANPAINT,0.23342902905022933,1.3568865692370866,0.001813886623235938,15.93069357392902,0.9634603333262165,19,9.159751146870366e-14,0.09271804014031082,False,Cement,Consumer,2017
ULTRACEMCO,HDFCBANK,1.765792067894432,1.0006866702287842,0.002326322148993251,19.3188410428759,0.947812206415753,28,1.8891414006320123e-14,0.06183302854452199,False,Cement,Bank,2017
SHREECEM,UPL,4.104461106391822,0.9155250763386158,0.002329812524298111,19.01591755454202,0.9581022094233193,12,9.33762179864629e-15,0.09914803832403347,False,Cement,Chemicals,2017
M&M,TITAN,2.77044246084445,0.6182067740744455,0.0024241754605729346,13.857518493541516,0.8451924761490532,20,7.838527005607455e-15,0.058403833261220076,False,Auto,Consumer,2017
ICICIBANK,SBIN,1.4148014288100186,0.7436611374225162,0.00266784455143611,18.069423561504582,0.9319083664353781,22,-2.2610954848609274e-14,0.05443396515206801,True,Bank,Bank,2017
SHREECEM,ULTRACEMCO,-1.069914757453676,1.3043688764548222,5.0013910889612265e-06,8.834890525291064,0.9626610165430319,26,-7.387858696352205e-14,0.06008588452685155,True,Cement,Cement,2018
KOTAKBANK,HDFCBANK,1.9608509944309955,0.7321304195640572,9.101027520602586e-06,8.641862579481213,0.9853570613690029,34,4.8321135452733006e-15,0.028579552753628498,True,Bank,Bank,2018
HEROMOTOCO,BAJFINANCE,5.575713801413605,0.3373322653993605,5.0705356438261464e-05,14.69012344153583,0.9572817932270266,25,3.1038076283144985e-14,0.05038360803298681,False,Auto,NBFC,2018
ICICIBANK,LT,-0.5436968203234676,0.8856762353291485,8.024600038129065e-05,12.400375313303288,0.9216041793643308,21,3.514178953712982e-14,0.05794981276825053,False,Bank,Infrastructure,2018
HCLTECH,ADANIPORTS,4.397759308811183,0.27283406752452216,0.0001516441642935206,11.86535542480942,0.7695006688527408,22,8.449443378946164e-15,0.04967356191275893,False,IT,Infrastructure,2018
KOTAKBANK,GRASIM,2.894277640334731,0.57473013434888,0.0001924761551757308,11.52724003652432,0.9690922170693556,23,-3.052232188334557e-15,0.041351279216388405,False,Bank,Cement,2018
ICICIBANK,ADANIPORTS,2.0146659324119733,0.6155404922742964,0.0002621538833541446,13.655735698658566,0.9043957638189832,23,-1.1607411093435498e-14,0.06370753271808828,False,Bank,Infrastructure,2018
