pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
HEROMOTOCO/HDFC,2018-11-09,2018-11-12,1,1,-3.3609187558649656,-3.9252568088184994,-0.02630180480232542,stop
HEROMOTOCO/HDFC,2018-11-26,2018-11-27,1,1,-3.042478407061834,-3.7632150573741123,-0.03248244594710968,stop
HEROMOTOCO/HDFC,2018-12-04,2018-12-05,1,1,-3.3343889711617245,-3.577729814813554,-0.01361647006994059,stop
HEROMOTOCO/HDFC,2018-12-07,2019-01-02,17,1,-3.4014476782438408,-3.64284211630976,-0.013539551001280025,stop
ITC/POWERGRID,2018-07-23,2018-10-23,60,-1,2.31251822068242,1.543748832615427,0.02511117586067277,time
ITC/POWERGRID,2018-11-29,2019-02-25,60,-1,2.18224257885443,1.463347614094259,0.023222569042592747,time
SHREECEM/BPCL,2018-08-17,2018-08-28,6,-1,2.2472986921521936,3.59545861524064,-0.05816742414848764,stop
SHREECEM/BPCL,2018-08-31,2018-09-03,1,-1,3.39600795026727,3.5456459981527844,-0.01001227456012585,stop
SHREECEM/BPCL,2018-09-04,2018-10-05,20,-1,3.2918752062558614,4.028510628224423,-0.033597114304630936,stop
SHREECEM/BPCL,2018-10-11,2019-01-09,60,-1,2.6902350795089744,1.9630310961718025,0.025218170584432858,time
SHREECEM/BPCL,2019-01-10,2019-02-27,33,-1,2.2337494223397916,2.25895209080668,-0.00501261253145098,eow
HDFC/JSWSTEEL,2018-05-29,2018-07-16,34,1,-2.13271152548662,-0.40881904951032905,0.0744208782887783,target
HDFC/JSWSTEEL,2018-08-24,2018-09-17,15,1,-2.0872715865611964,-3.7299188036713873,-0.07872498388360613,stop
HDFC/JSWSTEEL,2018-10-24,2018-10-25,1,1,-3.254197410944662,-3.6417038185859516,-0.021627893417511215,stop
HDFC/JSWSTEEL,2018-10-26,2018-12-05,26,1,-3.159151310029665,-0.3196143737956568,0.1251721981365388,target
ULTRACEMCO/BAJFINANCE,2018-04-09,2018-05-24,32,1,-2.0060607813734657,-3.5254786184825653,-0.07400799977816859,stop
ULTRACEMCO/BAJFINANCE,2018-05-25,2018-06-06,8,1,-3.469700935783401,-3.512568000550836,-0.005975123226431867,stop
ULTRACEMCO/BAJFINANCE,2018-06-07,2018-06-15,6,1,-3.4134761677156615,-3.8165546834377198,-0.02257206092363924,stop
ULTRACEMCO/BAJFINANCE,2018-06-26,2018-06-27,1,1,-3.3465026357239225,-3.5690998535380523,-0.014256287371880956,stop
ULTRACEMCO/BAJFINANCE,2018-06-29,2018-07-03,2,1,-3.2840222693182497,-3.640265631148925,-0.020414105841660903,stop
ULTRACEMCO/BAJFINANCE,2018-07-04,2018-07-18,10,1,-3.4833410720010116,-3.52623009654413,-0.005976135034990185,stop
ULTRACEMCO/BAJFINANCE,2018-07-23,2018-10-11,53,1,-3.370244227547464,-3.5141832359791527,-0.01063206777243582,stop
ULTRACEMCO/BAJFINANCE,2018-10-12,2018-10-15,1,1,-3.33019568621053,-3.755812812688231,-0.023610539621364106,stop
ULTRACEMCO/BAJFINANCE,2018-10-17,2018-10-19,1,1,-3.3333397427796037,-3.822761898974526,-0.02655039092308916,stop
ULTRACEMCO/BAJFINANCE,2018-11-09,2018-11-12,1,1,-3.424200583567824,-3.6096856963114408,-0.012546327030433894,stop
ULTRACEMCO/BAJFINANCE,2018-11-13,2018-12-10,18,1,-3.1737071340129894,-3.6479483315490655,-0.02585092003070926,stop
ULTRACEMCO/BAJFINANCE,2018-12-11,2019-01-03,16,1,-3.2909438362392653,-3.505435928533198,-0.013882839323712926,stop
ULTRACEMCO/BAJFINANCE,2019-01-04,2019-01-09,3,1,-3.423763110908511,-3.7377685146825517,-0.01846796904765959,stop
INDUSINDBK/GRASIM,2018-03-28,2018-05-21,35,-1,2.2522342690510118,3.7430749102393652,-0.04762862044111288,stop
INDUSINDBK/GRASIM,2018-05-22,2018-05-25,3,-1,3.4864182675989017,3.7275101519939504,-0.011055419623736414,stop
INDUSINDBK/GRASIM,2018-05-28,2018-05-31,3,-1,3.2721816079108414,3.9705855851629823,-0.024438403137312485,stop
INDUSINDBK/GRASIM,2018-06-07,2018-06-08,1,-1,3.390299335407389,3.5063289461094396,-0.007395541887840731,stop
INDUSINDBK/GRASIM,2018-06-11,2018-06-12,1,-1,3.348803430645624,3.979289342453811,-0.022450818806376484,stop
INDUSINDBK/GRASIM,2018-08-27,2018-10-25,39,-1,3.4959861774288665,3.5209195019899684,-0.004729659846638236,stop
INDUSINDBK/GRASIM,2018-10-26,2018-11-28,21,-1,3.48302549891432,3.868784896847544,-0.015289033776678543,stop
INDUSINDBK/GRASIM,2019-01-11,2019-01-23,8,-1,3.227676010361506,3.6203750396553813,-0.01549211822062949,stop
INDUSINDBK/GRASIM,2019-01-24,2019-01-25,1,-1,3.488876804899306,3.960190835584912,-0.017792742420117344,stop
INDUSINDBK/GRASIM,2019-02-26,2019-02-27,1,-1,3.4355223213728547,3.389765758862757,-0.00266095970066116,eow
GRASIM/HDFCBANK,2018-03-28,2018-05-18,34,1,-2.252801053236953,-3.628066559740141,-0.034661665620006346,stop
GRASIM/HDFCBANK,2018-05-23,2018-05-24,1,1,-3.3673054322620124,-4.097104998874722,-0.020270945628528318,stop
GRASIM/HDFCBANK,2018-09-17,2018-09-27,7,1,-3.3783253763299372,-3.9408122653102087,-0.016540694741485593,stop
ITC/ULTRACEMCO,2018-07-27,2018-10-29,60,-1,2.012787124650091,2.868821064782079,-0.03732943480327867,time
ITC/ULTRACEMCO,2018-10-29,2019-01-24,60,-1,2.868821064782079,1.6249179653277792,0.04334110010764336,time
ITC/ULTRACEMCO,2019-01-25,2019-02-27,22,-1,2.429100091343974,1.1502960719962871,0.04578986602148955,eow
SHREECEM/ULTRACEMCO,2019-03-28,2019-04-24,16,-1,2.1447752301633987,0.49691749075084485,0.03109556292607531,target
SHREECEM/ULTRACEMCO,2019-06-28,2019-09-26,60,-1,2.1495791044094577,0.42723196493768334,0.032682015060004434,time
SHREECEM/ULTRACEMCO,2019-10-25,2019-11-26,21,-1,2.4383752446178075,3.9071530486424417,-0.035281574017393375,stop
SHREECEM/ULTRACEMCO,2019-11-27,2019-12-12,11,-1,3.477644177049695,3.649020230117743,-0.007649914012975883,stop
SHREECEM/ULTRACEMCO,2019-12-13,2019-12-19,4,-1,3.4042870326628036,3.6102359223516074,-0.00838623556193919,stop
SHREECEM/ULTRACEMCO,2019-12-20,2019-12-27,4,-1,3.351723996184082,3.701520541197528,-0.011449858299794186,stop
SHREECEM/ULTRACEMCO,2020-01-01,2020-01-06,3,-1,3.4447716186652233,3.6628127703120454,-0.008643772805790081,stop
SHREECEM/ULTRACEMCO,2020-01-24,2020-01-29,3,-1,2.917293254498059,3.6718108000472363,-0.02006948061432036,stop
HDFC/HDFCBANK,2019-03-27,2019-04-04,5,1,-2.285537845762586,-0.21265299050632605,0.03375187154771408,target
HDFC/HDFCBANK,2019-05-08,2019-05-21,9,1,-2.19196083039316,-0.3551022144442149,0.029453305592336818,target
HDFC/HDFCBANK,2019-07-18,2019-09-06,33,-1,2.6228810150068322,0.44709751681912624,0.03562588608379884,target
HDFC/HDFCBANK,2019-09-27,2019-10-23,15,1,-2.0903777535931805,-0.45259027660558715,0.02582777470581906,target
HDFC/HDFCBANK,2019-12-05,2020-01-21,32,-1,2.0306731188912392,3.838017097745311,-0.03691577800822811,stop
HDFC/HDFCBANK,2020-01-22,2020-01-24,2,-1,3.285350946221249,3.6488843770759907,-0.010620757226398127,stop
HDFC/HDFCBANK,2020-01-29,2020-01-30,1,-1,3.2232066880233994,3.55191153578532,-0.009986450795060869,stop
HDFC/HDFCBANK,2020-02-03,2020-02-06,3,-1,2.1510388481768135,3.559063343111684,-0.029643276679854676,stop
HDFC/HDFCBANK,2020-02-07,2020-02-11,2,-1,3.1186276731517952,3.52709349635118,-0.011439076632719165,stop
HDFC/HDFCBANK,2020-02-12,2020-02-14,2,-1,3.39680256269428,3.512552822719632,-0.00610807124043135,stop
HDFC/HDFCBANK,2020-02-17,2020-03-12,16,-1,2.884171056816239,0.09358370270203487,0.04682283999907483,target
HEROMOTOCO/EICHERMOT,2019-03-19,2019-05-23,41,1,-2.1281202607224623,-0.2276509445842083,0.05181184231308116,target
HEROMOTOCO/EICHERMOT,2019-07-08,2019-07-17,7,1,-2.427375715090368,-0.2372080127960644,0.060319530655742935,target
HEROMOTOCO/EICHERMOT,2019-07-30,2019-08-07,6,1,-2.029330206219879,-0.04765327751931013,0.05419669874220741,target
HEROMOTOCO/EICHERMOT,2019-08-21,2019-08-29,6,-1,2.019682508976723,0.2486975434106158,0.04800922361528004,target
HEROMOTOCO/EICHERMOT,2019-10-25,2019-11-19,16,1,-2.0797977942611174,-3.9020153747715804,-0.057513792303803865,stop
HEROMOTOCO/EICHERMOT,2020-01-15,2020-01-16,1,1,-3.1650132678368044,-4.077935472589898,-0.03081015142055793,stop
HEROMOTOCO/EICHERMOT,2020-01-24,2020-01-27,1,1,-3.418223704642742,-3.629475005854873,-0.010203901431906736,stop
