y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_start
BPCL,SHREECEM,-4.004397847475683,0.9919169332482076,3.164778964720926e-05,10.521843560396224,0.9862478648484733,37,-1.8249951814314478e-14,0.06984599766546208,False,Energy,Cement,2016-08-11
TCS,INDUSINDBK,5.110511579860564,0.2809515076838281,3.266348592597231e-05,16.917728827365057,0.8288643851931083,21,-2.4202861936828413e-14,0.06771994922528402,False,IT,Bank,2016-08-11
SHREECEM,HDFCBANK,-2.6741087677864908,1.9275681589448308,2.207601189363544e-06,7.8665048365911785,0.9886771120543049,31,4.96487037255652e-15,0.06013469138113262,False,Cement,Bank,2016-11-17
INDUSINDBK,HDFCBANK,-3.522836743903367,1.6552120986874015,2.363026182042584e-05,8.682367448647735,0.9925053465919064,27,-4.5562613059272825e-14,0.04188952177602372,True,Bank,Bank,2016-11-17
LT,COALINDIA,1.0301659803556906,1.0878445395812064,0.00019151796504089007,15.466024326542268,0.9029059021228621,14,4.918816676720217e-14,0.07778833457846795,False,Infrastructure,Metals & Mining,2016-11-17
EICHERMOT,KOTAKBANK,-5.521912709335574,1.9759159295262532,0.00024236466755552384,15.305343628991668,0.9778414959684095,23,1.2259446838056622e-14,0.11330654132890039,False,Auto,Bank,2016-11-17
TCS,SUNPHARMA,3.8684566262084683,0.4691115814353781,0.0002660184675739506,14.546690196747498,0.8283045959059342,19,2.4698644070576365e-14,0.05158420763567437,False,IT,Pharma,2016-11-17
TCS,AXISBANK,5.369260952618376,0.264535715726262,0.00036025399496284675,14.054403859591941,0.8517396596381035,24,-9.226012076594026e-15,0.04824092357449525,False,IT,Bank,2016-11-17
ULTRACEMCO,SHREECEM,3.051075991905018,0.5304232950900217,0.00044213822532060046,13.708077028287018,0.9681894657522263,22,-2.870484567266291e-14,0.05493454263896182,True,Cement,Cement,2016-11-17
KOTAKBANK,HINDUNILVR,-2.618827081284441,1.373895665257839,0.0005025773244226721,13.852119372396928,0.9649695774884417,16,1.6504140793581163e-14,0.07027318316275441,False,Bank,Consumer,2016-11-17
INDUSINDBK,SHREECEM,-1.0606701391918651,0.840510995029993,0.0005630796289614108,14.547305940067139,0.9826025009471645,24,2.329941060779482e-14,0.06366358831704928,False,Bank,Cement,2016-11-17
SHREECEM,BPCL,4.0959445908462895,0.9953960878949764,0.0007243459161659031,12.564826441154384,0.9846223551868556,32,-6.121851996525678e-14,0.07000808470539101,False,Cement,Energy,2016-11-17
