pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
BPCL/BAJAJFINSV,2017-06-27,2017-07-11,10,1,-2.238972201501167,-0.20693838001774062,0.04820520637611708,target
SHREECEM/INDUSINDBK,2017-08-16,2017-08-18,2,1,-2.0122341681974967,-1.7246319965904136,-4.633927704723092e-05,eow
EICHERMOT/KOTAKBANK,2017-05-29,2017-06-07,7,1,-2.0778930974387513,-0.26730446756909615,0.01483178555926441,target
EICHERMOT/KOTAKBANK,2017-06-19,2017-07-03,9,1,-2.4012573245028968,-0.25589276375908027,0.013225936502720184,target
EICHERMOT/KOTAKBANK,2017-08-08,2017-08-10,2,-1,2.415847691641477,0.224901374314088,0.024836479628347424,target
COALINDIA/LT,2017-08-10,2017-08-18,5,1,-2.000328475559553,-1.0918722955781512,0.012069401751286261,eow
SHREECEM/BAJFINANCE,2017-06-21,2017-07-07,11,1,-2.023576325006819,-0.30374529729185673,0.03783955365486565,target
SHREECEM/BAJFINANCE,2017-07-26,2017-08-18,16,1,-2.166219704749554,-1.6746584797828674,-0.011830325461456626,eow
HINDUNILVR/KOTAKBANK,2017-05-22,2017-05-24,2,-1,3.155253674227188,3.506515144516908,-0.017577298550865116,stop
HINDUNILVR/KOTAKBANK,2017-05-25,2017-08-18,59,-1,2.8209508182468577,2.107570342084029,-0.08338186565901068,eow
HEROMOTOCO/ITC,2017-07-03,2017-08-18,33,1,-2.981350729620601,1.5936771559647247,0.12544683017456493,eow
SHREECEM/ULTRACEMCO,2017-09-26,2017-10-17,14,-1,2.1704270737246634,0.17103306693074113,0.00644164723442763,target
SHREECEM/ULTRACEMCO,2017-10-25,2017-11-20,18,1,-2.139486648726286,-1.0472785242455143,-0.006381931236238471,eow
NTPC/POWERGRID,2017-08-28,2017-09-27,22,-1,2.0214763952635546,0.4030333869571443,0.009629981412487484,target
NTPC/POWERGRID,2017-10-05,2017-10-06,1,-1,2.5949938488726847,3.6353209570900327,-0.022557997067560176,stop
NTPC/POWERGRID,2017-10-09,2017-11-20,29,-1,3.3959444670466703,1.2693822454531,-0.010081149073001828,eow
KOTAKBANK/HDFCBANK,2017-10-09,2017-10-25,11,-1,2.5330013598685066,-0.011558038683226097,0.016553530974871784,target
EICHERMOT/UPL,2017-08-21,2017-10-11,35,-1,2.8267236738042154,0.4662262982490285,0.0041165807054525504,target
EICHERMOT/UPL,2017-11-07,2017-11-20,9,-1,2.2194402308115375,1.7465315931746308,-0.0016951822553412854,eow
KOTAKBANK/INDUSINDBK,2017-08-22,2017-09-19,19,1,-2.0213476643496504,-0.0455668928053399,0.007587316583466734,target
KOTAKBANK/INDUSINDBK,2017-10-13,2017-11-03,14,-1,2.225025891056667,0.1170155618525309,0.01817917366103568,target
ITC/HEROMOTOCO,2017-11-15,2017-11-20,3,1,-2.0935802080769172,-0.5181866991689199,0.011207117154810592,eow
EICHERMOT/BAJFINANCE,2017-09-28,2017-10-16,11,1,-2.107777127064014,-0.15279472393990784,0.021865481107411947,target
EICHERMOT/INDUSINDBK,2017-10-25,2017-11-01,5,-1,2.826030433755642,0.16420475721489722,0.024075979516319845,target
EICHERMOT/KOTAKBANK,2017-08-21,2017-09-13,16,-1,2.5907911893099205,0.49937969038109603,0.019512721079426046,target
EICHERMOT/KOTAKBANK,2017-10-13,2017-10-25,7,1,-2.3735050433891662,0.25376278324768187,0.04154759290634228,target
EICHERMOT/BAJAJFINSV,2017-10-25,2017-11-10,12,-1,2.781892896769822,-0.009018241947234811,0.022230263625993778,target
KOTAKBANK/HDFCBANK,2018-01-29,2018-02-06,6,-1,2.6154751400749205,-0.20484587509820404,0.01649781097839458,target
ULTRACEMCO/SHREECEM,2018-01-30,2018-02-02,3,-1,2.184935323647044,0.15700700666395895,0.014920836819853305,target
KOTAKBANK/GRASIM,2018-01-25,2018-02-20,16,-1,2.3224238021722288,0.9211001727933117,-0.0007262824889049876,eow
HINDUNILVR/TITAN,2017-11-21,2017-12-29,27,1,-2.1995662196953236,-0.4103611244503046,0.01782914429988349,target
HINDUNILVR/TITAN,2018-02-01,2018-02-20,12,-1,2.320766607737553,0.2549094228111825,0.01438772918686736,target
M&M/ASIANPAINT,2017-12-15,2018-02-12,39,-1,2.11775774700529,0.28400706718574503,-0.003347851590468187,target
BAJFINANCE/JSWSTEEL,2018-01-04,2018-02-20,31,1,-2.148380390173882,-1.6928580665143542,-0.08881096115411083,eow
ASIANPAINT/HDFC,2018-01-24,2018-02-20,17,1,-2.836339460198203,-1.0849594168831016,-7.537927819103226e-05,eow
ASIANPAINT/JSWSTEEL,2018-01-23,2018-02-20,18,1,-2.2959467543878938,-1.9291586687472153,-0.042072893172095845,eow
ASIANPAINT/HEROMOTOCO,2017-12-21,2018-01-04,9,1,-2.2497253015812366,-0.07839340225363463,0.020139150732909963,target
ASIANPAINT/HEROMOTOCO,2018-01-15,2018-01-24,7,-1,2.1606616184515075,-0.19583261778240885,0.022404420016645995,target
NTPC/POWERGRID,2018-02-02,2018-02-20,11,1,-2.847273966993956,-1.6494225103375597,-0.006252708102101715,eow
SHREECEM/ULTRACEMCO,2018-03-12,2018-03-16,4,1,-2.18769785499734,0.2898777407996443,0.02393497401430531,target
SHREECEM/ULTRACEMCO,2018-04-06,2018-04-19,9,-1,2.207085796902041,0.39076615179332136,0.015514414316864032,target
SHREECEM/ULTRACEMCO,2018-05-22,2018-05-24,2,-1,2.0643748878353434,2.3990743385953213,-0.013835767847394834,eow
KOTAKBANK/HDFCBANK,2018-02-22,2018-03-19,16,-1,2.786101660864674,0.44383848600107384,0.007431439713611585,target
KOTAKBANK/HDFCBANK,2018-04-13,2018-05-24,28,-1,2.3146269147267633,1.61479784086973,-0.05003645035218416,eow
HEROMOTOCO/BAJFINANCE,2018-03-21,2018-04-02,6,1,-2.3267903551584386,-0.15673112518356108,0.018039728939360462,target
HEROMOTOCO/BAJFINANCE,2018-05-16,2018-05-18,2,1,-2.1835246053211543,-3.5658069788840407,-0.03553300579756108,stop
HEROMOTOCO/BAJFINANCE,2018-05-22,2018-05-24,2,1,-3.3469271001106344,-2.640024269134886,0.00034495564976386346,eow
ICICIBANK/LT,2018-03-01,2018-04-02,19,1,-2.3616830547641423,-3.555002366873361,-0.09215957235320163,stop
ICICIBANK/LT,2018-04-03,2018-05-08,24,1,-2.6868949213105893,0.3064882818274239,0.05594133212070028,target
HCLTECH/ADANIPORTS,2018-04-12,2018-04-23,7,-1,2.6144088077623118,3.5022561798533864,-0.05449453572229783,stop
HCLTECH/ADANIPORTS,2018-04-24,2018-05-24,21,-1,2.50513767766912,-0.8046000514956988,0.1023475407191044,eow
KOTAKBANK/GRASIM,2018-04-11,2018-05-24,30,-1,2.041550184459644,1.8597292791032636,-0.09950039115619745,eow
ICICIBANK/ADANIPORTS,2018-03-06,2018-03-13,5,1,-2.1507076800639964,-0.43757955952588184,0.03454261607941109,target
ICICIBANK/ADANIPORTS,2018-04-02,2018-05-08,25,1,-2.977903650722322,0.1496519249998112,0.05707141260846462,target
SHREECEM/HEROMOTOCO,2018-03-12,2018-03-22,8,1,-2.362968192182088,-0.3400307139298158,0.038793738879372236,target
HCLTECH/ICICIBANK,2018-03-07,2018-05-03,38,-1,2.0242624337091044,-0.45964959525506266,0.010113827301131514,target
UPL/ULTRACEMCO,2018-03-20,2018-04-23,22,-1,2.212490852566254,0.21303690400625297,0.0024837768960213683,target
ULTRACEMCO/SHREECEM,2018-05-25,2018-06-20,18,1,-2.1982951209391497,-0.4251009005398024,0.011243234298566777,target
ULTRACEMCO/SHREECEM,2018-08-09,2018-08-23,8,-1,2.3556453575864484,1.2658405115593385,0.008160391772637445,eow
BAJAJ-AUTO/TATASTEEL,2018-07-04,2018-07-11,5,-1,2.293537446775411,3.6166944793387645,-0.06854859181117384,stop
BAJAJ-AUTO/TATASTEEL,2018-07-12,2018-08-23,28,-1,2.762791032327437,-0.8599450981305672,0.1137965374919567,eow
BAJAJ-AUTO/NTPC,2018-06-06,2018-06-28,16,-1,2.0219771785019764,0.1516453785204523,0.012144528526277912,target
BAJAJ-AUTO/NTPC,2018-07-04,2018-07-20,12,-1,2.861053420946236,0.42538117259865055,0.019210210776457654,target
BAJAJ-AUTO/HINDALCO,2018-07-04,2018-07-11,5,-1,2.637567780664312,3.6168325491865256,-0.07088450822431061,stop
BAJAJ-AUTO/HINDALCO,2018-07-12,2018-07-23,7,-1,2.8016935326263273,-0.30496567187660056,0.08740165259617921,target
M&M/TCS,2018-05-31,2018-06-15,11,-1,2.572441344892012,0.1548658370271827,0.027688892666504112,target
ICICIBANK/ADANIPORTS,2018-06-21,2018-06-27,4,-1,2.0405110759499268,0.07458630728287173,0.030804653874281447,target
ICICIBANK/ADANIPORTS,2018-08-06,2018-08-23,11,-1,2.0602161535017323,1.8982261132109493,-0.05861724362145741,eow
BAJAJ-AUTO/ULTRACEMCO,2018-06-04,2018-06-25,15,-1,2.7612221572502205,0.29206580370538304,0.016387143427884332,target
BAJAJ-AUTO/ULTRACEMCO,2018-07-09,2018-07-20,9,-1,2.020855831054764,-0.20390037393180035,0.02961015578543773,target
BAJAJ-AUTO/ULTRACEMCO,2018-07-23,2018-08-23,21,1,-2.032972342849231,-1.4323689861363176,-0.03754212104722936,eow
HEROMOTOCO/TATASTEEL,2018-07-02,2018-07-09,5,1,-2.3225383303162332,0.3205952582924948,0.033392044682135476,target
