pair,times_selected,avg_adf_p,avg_half_life,avg_corr,avg_beta,same_sector,sector_y,sector_x,trades,total_pnl,win_rate
HDFC/HCLTECH,1,0.0004994407901813851,15.225485319819157,0.8709353732903314,1.0699026670033036,False,NBFC,IT,3.0,0.04631005292763594,0.6666666666666666
HCLTECH/INFY,1,0.000914416534307538,14.27269049794939,0.9801588772986681,0.9214413856710646,True,IT,IT,2.0,-0.04318114395181494,0.5
HDFC/BAJFINANCE,1,9.790100538384842e-05,14.030879025826984,0.9534804752258698,0.4648355961654729,True,NBFC,NBFC,3.0,0.025088292571936434,0.6666666666666666
HDFC/BRITANNIA,1,0.000491932578318428,24.4289436406784,0.8683528085273545,0.6877574858048272,False,NBFC,Consumer,3.0,0.03952228974024054,0.6666666666666666
EICHERMOT/UPL,1,0.0005184007435275965,20.212229887464016,0.9274091225699878,0.8472690037790354,False,Auto,Chemicals,2.0,0.002421398450111265,0.5
EICHERMOT/BAJFINANCE,1,0.0008438551923476976,21.626046470713895,0.9476590541235156,0.4954059495829509,False,Auto,NBFC,1.0,0.021865481107411947,1.0
EICHERMOT/INDUSINDBK,1,0.0010830515856900412,20.641047367587216,0.9499851438218457,1.0104030857891084,False,Auto,Bank,1.0,0.024075979516319845,1.0
EICHERMOT/MARUTI,1,0.000722856134530424,15.029478404431911,0.9185154631309077,1.0452217392065697,True,Auto,Auto,,,
COALINDIA/LT,1,0.0008631805817704744,14.831757333904823,0.7181847845838194,0.4785217153071549,False,Metals & Mining,Infrastructure,1.0,0.012069401751286261,1.0
BPCL/NTPC,1,0.00031390629721498724,13.881867619946398,0.9310059873743814,1.7480655505664826,False,Energy,Utilities,2.0,0.011070760121023523,0.5
BAJFINANCE/KOTAKBANK,1,0.00027006055097522055,13.96175964140746,0.9791569494086141,1.677103683196362,False,NBFC,Bank,2.0,-0.020411745424495052,0.5
ITC/HEROMOTOCO,1,0.0007762282439587644,16.991367197696807,0.8428122914860187,0.673658861988564,False,Consumer,Auto,1.0,0.011207117154810592,1.0
IOC/ONGC,1,0.0020280897180752397,13.990906920407262,0.9665315284955773,0.7943695386378311,True,Energy,Energy,1.0,0.025121513433797232,1.0
INDUSINDBK/KOTAKBANK,1,0.00031548148415989045,11.123133571288651,0.9772358772784715,1.106172264893889,True,Bank,Bank,1.0,-0.021280876246447394,0.0
INDUSINDBK/SHREECEM,1,0.0005630796289614108,14.547305940067139,0.9826025009471645,0.840510995029993,False,Bank,Cement,2.0,0.00995297408489227,0.5
INDUSINDBK/HDFCBANK,1,2.363026182042584e-05,8.682367448647735,0.9925053465919064,1.6552120986874015,True,Bank,Bank,1.0,0.010874482807871257,1.0
ICICIBANK/WIPRO,1,3.0393945829880446e-05,12.031662040765436,0.9218337199618387,1.1046111886759502,False,Bank,IT,2.0,-0.1460185862039876,0.0
ICICIBANK/LT,1,8.024600038129065e-05,12.400375313303288,0.9216041793643308,0.8856762353291485,False,Bank,Infrastructure,2.0,-0.03621824023250135,0.5
ICICIBANK/MARUTI,1,0.0001443949413251115,15.715042787563664,0.8994688716869933,0.43137399638956414,False,Bank,Auto,1.0,0.009616539677063782,1.0
HINDALCO/GRASIM,1,0.00030213063879732787,13.604872623963283,0.860354222789638,0.5934568577306027,False,Metals & Mining,Cement,3.0,-0.06498993069946177,0.6666666666666666
HEROMOTOCO/TATASTEEL,1,0.00027026746179812993,20.10417770290491,0.9203619083819232,0.3983997255560636,False,Auto,Metals & Mining,3.0,0.02735902616100899,0.6666666666666666
HINDUNILVR/TITAN,1,4.3276333378597755e-05,13.769138598009105,0.9006817639061269,0.639832606739612,True,Consumer,Consumer,2.0,0.032216873486750855,1.0
HDFC/JSWSTEEL,1,0.0009505684921005024,16.404028229515944,0.9612943065580621,0.6296356773052443,False,NBFC,Metals & Mining,2.0,-0.06200648587930956,0.0
HDFCBANK/M&M,1,0.00043494528770700633,12.361522837157095,0.9624081875225458,0.8418283516619138,False,Bank,Auto,1.0,0.0134269518333927,1.0
HDFCBANK/HCLTECH,1,0.0004352397230899124,16.553332164934975,0.8811411741552038,1.2481554076298171,False,Bank,IT,3.0,0.05804926882063266,0.6666666666666666
HEROMOTOCO/BAJFINANCE,1,5.0705356438261464e-05,14.69012344153583,0.9572817932270266,0.3373322653993605,False,Auto,NBFC,3.0,-0.017148321208436755,0.6666666666666666
HEROMOTOCO/ITC,1,0.00124933681131019,20.573806391145656,0.7474837528243282,1.148584283057914,False,Auto,Consumer,1.0,0.12544683017456493,1.0
HDFC/INDUSINDBK,1,0.0005285344583376248,16.59857810680704,0.9451166831578434,0.8581361142323345,False,NBFC,Bank,1.0,0.0143530601790935,1.0
HDFC/ITC,1,3.106656220183805e-05,12.344947834244966,0.72197118303788,0.3653817168546922,False,NBFC,Consumer,1.0,0.0024781346925116738,1.0
HDFC/TATACONSUM,1,0.0004046555249695833,13.576093650182457,0.8248635006184454,0.5714489400863187,False,NBFC,Consumer,2.0,0.014848146002419368,0.5
HDFC/LT,1,0.00016256731447183666,18.08172077141399,0.9035521249193563,1.070498144299941,False,NBFC,Infrastructure,1.0,-0.010126707866049314,0.0
EICHERMOT/BAJAJFINSV,1,0.0017534121762356899,26.478373240705075,0.9238809476953453,0.5549423888939882,False,Auto,NBFC,1.0,0.022230263625993778,1.0
BRITANNIA/RELIANCE,1,0.00047831375620944355,15.30399950387951,0.9063833630882646,0.476781179393183,False,Consumer,Energy,1.0,0.00017428189544336017,1.0
CIPLA/COALINDIA,1,0.0008985526282477592,13.51778613022583,0.8419463664844052,0.7517636083021857,False,Pharma,Metals & Mining,2.0,-0.19486421726235753,0.0
GRASIM/TITAN,1,0.0002572163875491789,11.651261149319213,0.9289730573984646,0.6448755752458828,False,Cement,Consumer,2.0,0.027655472224298427,0.5
HCLTECH/ICICIBANK,1,0.0003815800705668951,12.970031198783278,0.7012462178687634,0.3653103862130709,False,IT,Bank,1.0,0.010113827301131514,1.0
HCLTECH/DIVISLAB,1,7.484966910536949e-05,15.961982342417839,0.8402828962203192,0.2735914036441509,False,IT,Pharma,1.0,-0.06792441069118735,0.0
HCLTECH/AXISBANK,1,0.00023338804918174302,12.701125934735016,0.8696667161260445,0.5899898514240346,False,IT,Bank,1.0,-0.0037786449479237667,0.0
HCLTECH/BAJAJFINSV,1,0.0008029102760842951,14.136944954297116,0.8868943329565454,0.40616312195059073,False,IT,NBFC,3.0,-0.026344954471794614,0.3333333333333333
M&M/IOC,1,9.764209537048119e-05,14.296930749285858,0.9086625638763072,0.5464525484993604,False,Auto,Energy,1.0,-0.009318106966459436,0.0
M&M/GRASIM,1,0.0002897373313347198,13.77613330115328,0.9211852416714025,0.9581197640125153,False,Auto,Cement,1.0,0.00685911690688102,1.0
KOTAKBANK/EICHERMOT,1,0.0001023810664188093,13.396243642719735,0.9744616024548888,0.5037455120143659,False,Bank,Auto,1.0,-0.016352258774142765,0.0
KOTAKBANK/BAJFINANCE,1,0.0002891636599401521,13.778538522586004,0.9825091324586881,0.5693473715684931,False,Bank,NBFC,2.0,0.06463324234647196,1.0
SBIN/ULTRACEMCO,1,0.0002799089094932649,19.226345339111777,0.7409785922990629,1.0080002776142931,False,Bank,Cement,2.0,0.034564026689886514,1.0
RELIANCE/TECHM,1,0.0006925157746166691,24.299743456088382,0.8976079964152112,0.9342890066489197,False,Energy,IT,1.0,-0.17264772301353126,0.0
POWERGRID/UPL,1,0.0006067231823602164,11.905269699994442,0.7015991320455335,0.254993636690715,False,Utilities,Chemicals,1.0,0.023075287853250106,1.0
ONGC/COALINDIA,1,0.0015780010707537194,15.858865554197592,0.9525398871527379,1.1965202133136552,False,Energy,Metals & Mining,3.0,0.03201923128461531,0.6666666666666666
MARUTI/TATAMOTORS,1,0.001216308622370365,16.57653442326213,0.9080989053871766,0.33423813903145416,True,Auto,Auto,1.0,-0.11941766333988225,0.0
MARUTI/ADANIPORTS,1,0.0005103750152482362,13.880723781817041,0.9628544296359932,1.0371063129056521,False,Auto,Infrastructure,1.0,0.057310016148986356,1.0
M&M/SHREECEM,1,0.00012897838211908239,11.051059877345649,0.974026620035985,0.5346311518388573,False,Auto,Cement,3.0,-0.01293464723735692,0.3333333333333333
NTPC/HINDALCO,1,0.00025903960814739125,12.302353061677588,0.9504508787528337,0.27881973446297026,False,Utilities,Metals & Mining,2.0,-0.03131672288054883,0.5
KOTAKBANK/HINDUNILVR,1,0.0005025773244226721,13.852119372396928,0.9649695774884417,1.373895665257839,False,Bank,Consumer,,,
JSWSTEEL/HCLTECH,1,0.0007737077094357703,16.81311438336189,0.8831562836085265,2.6589138522358997,False,Metals & Mining,IT,1.0,0.0386731285597256,1.0
LT/COALINDIA,1,0.00019151796504089007,15.466024326542268,0.9029059021228621,1.0878445395812064,False,Infrastructure,Metals & Mining,,,
KOTAKBANK/SHREECEM,1,0.0002369956392202711,13.641395469416437,0.9778887142458075,0.6881340008879562,False,Bank,Cement,1.0,-0.029257064920327917,0.0
LT/HDFCBANK,1,0.00024701001716664455,15.77720509902916,0.9546205621346486,0.6639693170717247,False,Infrastructure,Bank,1.0,-0.0015590808023202992,0.0
